C,T,N,Kmax,Jmin,Tempo,HMenorJ,seed,O

10,0.1,10000,50,6.493379047072682,0.8177256,false,1,true
10,0.1,10000,50,6.493379047072682,0.0002269,false,2,true
10,0.1,10000,50,6.493379047072682,0.0001433,false,3,true
10,0.1,10000,50,6.493379047072682,0.0001187,false,4,true
10,0.1,10000,50,6.493379047072682,6.04e-5,false,5,true
10,0.1,10000,50,6.493379047072682,6.65e-5,false,6,true
10,0.1,10000,50,6.493379047072682,8.03e-5,false,7,true
10,0.1,10000,50,6.493379047072682,0.0001239,false,8,true
10,0.1,10000,50,6.493379047072681,0.0001125,false,9,true
10,0.1,10000,50,6.493379047072682,0.0001206,false,10,true
10,0.2,10000,50,6.493379047072682,0.0001405,false,1,true
10,0.2,10000,50,6.493379047072682,0.0002092,false,2,true
10,0.2,10000,50,6.493379047072682,0.0001148,false,3,true
10,0.2,10000,50,6.493379047072682,0.0001168,false,4,true
10,0.2,10000,50,6.493379047072682,0.0001088,false,5,true
10,0.2,10000,50,6.493379047072682,7.64e-5,false,6,true
10,0.2,10000,50,6.493379047072682,0.0001098,false,7,true
10,0.2,10000,50,6.493379047072682,6.92e-5,false,8,true
10,0.2,10000,50,6.493379047072681,0.0001074,false,9,true
10,0.2,10000,50,6.493379047072682,0.0001122,false,10,true
10,0.3,10000,50,6.493379047072682,9.55e-5,false,1,true
10,0.3,10000,50,6.493379047072682,0.0001245,false,2,true
10,0.3,10000,50,6.493379047072682,0.0001005,false,3,true
10,0.3,10000,50,6.493379047072682,0.0001149,false,4,true
10,0.3,10000,50,6.493379047072681,0.0001184,false,5,true
10,0.3,10000,50,6.493379047072682,0.0001116,false,6,true
10,0.3,10000,50,6.493379047072682,6.15e-5,false,7,true
10,0.3,10000,50,6.493379047072682,9.09e-5,false,8,true
10,0.3,10000,50,6.493379047072681,8.06e-5,false,9,true
10,0.3,10000,50,6.493379047072682,0.0001278,false,10,true
10,0.4,10000,50,6.493379047072682,7.72e-5,false,1,true
10,0.4,10000,50,6.493379047072682,0.0001052,false,2,true
10,0.4,10000,50,6.493379047072682,0.0001069,false,3,true
10,0.4,10000,50,6.493379047072682,6.54e-5,false,4,true
10,0.4,10000,50,6.493379047072682,8.87e-5,false,5,true
10,0.4,10000,50,6.493379047072682,0.0001039,false,6,true
10,0.4,10000,50,6.493379047072682,6.55e-5,false,7,true
10,0.4,10000,50,6.493379047072682,0.00013,false,8,true
10,0.4,10000,50,6.493379047072682,0.0001139,false,9,true
10,0.4,10000,50,6.493379047072682,0.0001194,false,10,true
10,0.5,10000,50,6.493379047072682,0.0001149,false,1,true
10,0.5,10000,50,6.493379047072682,0.000119,false,2,true
10,0.5,10000,50,6.493379047072681,0.000109,false,3,true
10,0.5,10000,50,6.493379047072682,0.0001291,false,4,true
10,0.5,10000,50,6.493379047072682,0.0001405,false,5,true
10,0.5,10000,50,6.493379047072682,0.0001873,false,6,true
10,0.5,10000,50,6.493379047072682,0.000114,false,7,true
10,0.5,10000,50,6.493379047072682,0.0001069,false,8,true
10,0.5,10000,50,6.493379047072682,0.0001293,false,9,true
10,0.5,10000,50,6.493379047072682,0.000122,false,10,true
10,0.6,10000,50,6.493379047072682,0.0001213,false,1,true
10,0.6,10000,50,6.493379047072682,0.0001118,false,2,true
10,0.6,10000,50,6.493379047072682,0.0001138,false,3,true
10,0.6,10000,50,6.493379047072682,8.6e-5,false,4,true
10,0.6,10000,50,6.493379047072682,0.000107,false,5,true
10,0.6,10000,50,6.493379047072682,0.0001212,false,6,true
10,0.6,10000,50,6.493379047072682,9.15e-5,false,7,true
10,0.6,10000,50,6.493379047072682,0.0001043,false,8,true
10,0.6,10000,50,6.493379047072682,0.0001204,false,9,true
10,0.6,10000,50,6.493379047072682,0.0001122,false,10,true
10,0.7,10000,50,6.493379047072682,8.02e-5,false,1,true
10,0.7,10000,50,6.493379047072682,0.0002432,false,2,true
10,0.7,10000,50,6.493379047072682,0.0001217,false,3,true
10,0.7,10000,50,6.493379047072682,9.19e-5,false,4,true
10,0.7,10000,50,6.493379047072682,0.0001677,false,5,true
10,0.7,10000,50,6.493379047072682,0.0002005,false,6,true
10,0.7,10000,50,6.493379047072681,0.000127,false,7,true
10,0.7,10000,50,6.493379047072682,0.0001725,false,8,true
10,0.7,10000,50,6.493379047072682,0.0001237,false,9,true
10,0.7,10000,50,6.493379047072682,0.0001135,false,10,true
10,0.8,10000,50,6.493379047072682,0.0001098,false,1,true
10,0.8,10000,50,6.493379047072682,0.0001679,false,2,true
10,0.8,10000,50,6.493379047072682,0.0001611,false,3,true
10,0.8,10000,50,6.493379047072682,0.0005582,false,4,true
10,0.8,10000,50,6.493379047072682,0.0002415,false,5,true
10,0.8,10000,50,6.493379047072682,0.0002881,false,6,true
10,0.8,10000,50,6.493379047072682,0.0001684,false,7,true
10,0.8,10000,50,6.493379047072682,0.0001556,false,8,true
10,0.8,10000,50,6.493379047072682,0.0002926,false,9,true
10,0.8,10000,50,6.493379047072682,0.0001095,false,10,true
10,0.9,10000,50,6.493379047072682,0.0003925,false,1,true
10,0.9,10000,50,6.493379047072682,0.0002115,false,2,true
