C,T,N,Kmax,Jmin,Tempo,HMenorJ,O
30,1,10000.0,30,7.807776527399671,8.1943819,false,false
30,1,10000.0,30,7.828999782710083,8.3043838,true,false
30,0.7,10000.0,30,9.153868755526696,8.2797202,false,false
30,2,10000.0,30,12.107380117849216,8.1006078,false,false
30,0.5,10000.0,30,11.065164979645656,8.203537,false,false
30,0.8,10000.0,30,7.329871214944929,3.2015532,false,true
30,0.8,10000.0,30,8.159398094674698,8.3161396,true,false
30,0.8,100000.0,30,7.329871214944931,20.4089206,true,true
30,0.8,100000.0,30,7.329871214944931,21.001702,false,true
30,0.8,100000.0,30,8.16297636684059,90.4502346,false,false
30,0.8,100000.0,40,7.807776527399671,131.0613395,false,false
30,1,100000.0,40,7.828999782710082,124.8770993,false,false
30,1.2,100000.0,40,7.329871214944929,57.2506099,false,true
30,1.2,100000.0,40,7.329871214944931,60.0480963,true,true
