C,meme,SR,MBF,AES,mu,gens,k,depth,maxS,runs
50,false,78.0,0.98301077,16182.692,125,200,2,0,0,100
50,false,9.0,0.77642804,19972.223,125,200,4,0,0,100
50,false,1.0,0.6882962,21500.0,125,200,6,0,0,100
50,false,0.0,0.6555565,0.0,125,200,8,0,0,100
50,false,0.0,0.5954133,0.0,125,200,10,0,0,100
50,false,98.0,0.9983664,19223.215,125,300,2,0,0,100
50,false,22.0,0.82556134,26755.682,125,300,4,0,0,100
50,false,5.0,0.71338874,27600.0,125,300,6,0,0,100
50,false,1.0,0.7016297,33125.0,125,300,8,0,0,100
50,false,1.0,0.670491,29000.0,125,300,10,0,0,100
50,false,100.0,1.0,19675.0,125,400,2,0,0,100
50,false,31.0,0.87202877,31741.936,125,400,4,0,0,100
50,false,8.0,0.7478234,32921.875,125,400,6,0,0,100
50,false,3.0,0.74262303,39208.332,125,400,8,0,0,100
50,false,2.0,0.6951826,39312.5,125,400,10,0,0,100
50,false,100.0,1.0,19675.0,125,500,2,0,0,100
50,false,38.0,0.9019551,35661.184,125,500,4,0,0,100
50,false,12.0,0.7607698,40312.5,125,500,6,0,0,100
50,false,5.0,0.7563724,46125.0,125,500,8,0,0,100
50,false,5.0,0.73121333,50575.0,125,500,10,0,0,100
50,true,0.0,0.37642634,0.0,25,100,2,1,10,100
50,true,0.0,0.24370113,0.0,25,100,2,1,50,100
50,true,0.0,0.19133028,0.0,25,100,2,1,100,100
50,true,0.0,0.16583411,0.0,25,100,2,1,150,100
50,true,0.0,0.15287769,0.0,25,100,2,1,200,100
50,true,0.0,0.4095299,0.0,25,100,2,2,10,100
50,true,0.0,0.24847433,0.0,25,100,2,2,50,100
50,true,0.0,0.1924282,0.0,25,100,2,2,100,100
50,true,0.0,0.16650108,0.0,25,100,2,2,150,100
50,true,0.0,0.15333886,0.0,25,100,2,2,200,100
50,true,0.0,0.4115991,0.0,25,100,2,3,10,100
50,true,0.0,0.24696092,0.0,25,100,2,3,50,100
50,true,0.0,0.1919802,0.0,25,100,2,3,100,100
50,true,0.0,0.1673327,0.0,25,100,2,3,150,100
50,true,0.0,0.15299045,0.0,25,100,2,3,200,100
50,true,0.0,0.41327915,0.0,25,100,2,4,10,100
50,true,0.0,0.25283894,0.0,25,100,2,4,50,100
50,true,0.0,0.19157334,0.0,25,100,2,4,100,100
50,true,0.0,0.16572393,0.0,25,100,2,4,150,100
50,true,0.0,0.1524796,0.0,25,100,2,4,200,100
50,true,0.0,0.40574715,0.0,25,100,2,5,10,100
50,true,0.0,0.24698818,0.0,25,100,2,5,50,100
50,true,0.0,0.19427437,0.0,25,100,2,5,100,100
